lat,lon,variables
47.45,-124.43,7777;averageWavePeriod;bufrTemplate;bufrdcExpandedDescriptors;createNewData;dataBuoyType;dataKeys;day;defaultSequence;delayedDescriptorReplicationFactor;directionFromWhichDominantWavesAreComing;ed;expandedAbbreviations;expandedCodes;expandedCrex_scales;expandedCrex_units;expandedCrex_widths;expandedNames;expandedOriginalCodes;expandedOriginalReferences;expandedOriginalScales;expandedOriginalWidths;expandedTypes;expandedUnits;globalDomain;heightOfStationGroundAboveMeanSeaLevel;hour;lengthDescriptors;localSectionPresent;marineObservingPlatformIdentifier;masterTablesVersionNumberLatest;md5Data;md5Structure;minute;month;numberOfUnexpandedDescriptors;reservedSection3;sequences;shortDelayedDescriptorReplicationFactor;significantWaveHeight;spectralPeakWavePeriod;stationOrSiteName;subsetNumber;tableNumber;templatesLocalDir;templatesMasterDir;totalLength;unexpandedDescriptors;updateSequenceNumber;year
42.49349,-64.60262,7777;airTemperature;batteryVoltageLargeRange;bufrTemplate;bufrdcExpandedDescriptors;createNewData;dataBuoyType;dataCollectionLocationSystem;dataKeys;day;defaultSequence;delayedDescriptorReplicationFactor;drogueDepth;ed;expandedAbbreviations;expandedCodes;expandedCrex_scales;expandedCrex_units;expandedCrex_widths;expandedNames;expandedOriginalCodes;expandedOriginalReferences;expandedOriginalScales;expandedOriginalWidths;expandedTypes;expandedUnits;globalDomain;hour;lengthDescriptors;localSectionPresent;locationQualityClassRangeOfRadiusOf66Confidence;longStationName;marineObservingPlatformIdentifier;masterTablesVersionNumberLatest;md5Data;md5Structure;minute;month;numberOfUnexpandedDescriptors;oceanographicWaterTemperature;platformTransmitterIdNumber;qualityOfBuoyLocation;qualityOfBuoySatelliteTransmission;reservedSection3;sequences;shortDelayedDescriptorReplicationFactor;subsetNumber;tableNumber;templatesLocalDir;templatesMasterDir;timeSignificance;totalLength;unexpandedDescriptors;updateSequenceNumber;year
-48.720000000000006,-138.3716,7777;batteryVoltageLargeRange;bufrTemplate;bufrdcExpandedDescriptors;createNewData;dataBuoyType;dataCollectionLocationSystem;dataKeys;day;defaultSequence;delayedDescriptorReplicationFactor;drogueDepth;ed;expandedAbbreviations;expandedCodes;expandedCrex_scales;expandedCrex_units;expandedCrex_widths;expandedNames;expandedOriginalCodes;expandedOriginalReferences;expandedOriginalScales;expandedOriginalWidths;expandedTypes;expandedUnits;globalDomain;hour;lagrangianDrifterSubmergenceTimeSubmerged;lengthDescriptors;localSectionPresent;locationQualityClassRangeOfRadiusOf66Confidence;longStationName;marineObservingPlatformIdentifier;masterTablesVersionNumberLatest;md5Data;md5Structure;minute;month;nonCoordinatePressure;numberOfUnexpandedDescriptors;oceanographicWaterTemperature;platformTransmitterIdNumber;pressureReducedToMeanSeaLevel;qualityOfBuoyLocation;qualityOfBuoySatelliteTransmission;reservedSection3;sequences;shortDelayedDescriptorReplicationFactor;subsetNumber;tableNumber;templatesLocalDir;templatesMasterDir;timeSignificance;totalLength;unexpandedDescriptors;updateSequenceNumber;year
46.7,-56.1833,7777;averageWavePeriod;bufrTemplate;bufrdcExpandedDescriptors;createNewData;dataBuoyType;dataKeys;day;defaultSequence;delayedDescriptorReplicationFactor;depthBelowWaterSurface;directionFromWhichDominantWavesAreComing;durationOfWaveRecord;ed;expandedAbbreviations;expandedCodes;expandedCrex_scales;expandedCrex_units;expandedCrex_widths;expandedNames;expandedOriginalCodes;expandedOriginalReferences;expandedOriginalScales;expandedOriginalWidths;expandedTypes;expandedUnits;globalDomain;hour;lengthDescriptors;localSectionPresent;marineObservingPlatformIdentifier;masterTablesVersionNumberLatest;maximumWaveHeight;md5Data;md5Structure;minute;month;numberOfUnexpandedDescriptors;reservedSection3;seaSurfaceTemperature;sequences;shortDelayedDescriptorReplicationFactor;significantWaveHeight;stationOrSiteName;subsetNumber;tableNumber;templatesLocalDir;templatesMasterDir;totalLength;unexpandedDescriptors;updateSequenceNumber;year
43.371,3.7796000000000003,7777;averageWavePeriod;bufrTemplate;bufrdcExpandedDescriptors;createNewData;dataBuoyType;dataKeys;day;defaultSequence;delayedDescriptorReplicationFactor;depthBelowWaterSurface;directionFromWhichDominantWavesAreComing;durationOfWaveRecord;ed;expandedAbbreviations;expandedCodes;expandedCrex_scales;expandedCrex_units;expandedCrex_widths;expandedNames;expandedOriginalCodes;expandedOriginalReferences;expandedOriginalScales;expandedOriginalWidths;expandedTypes;expandedUnits;globalDomain;hour;lengthDescriptors;localSectionPresent;marineObservingPlatformIdentifier;masterTablesVersionNumberLatest;maximumWaveHeight;md5Data;md5Structure;minute;month;numberOfUnexpandedDescriptors;reservedSection3;seaSurfaceTemperature;sequences;shortDelayedDescriptorReplicationFactor;significantWaveHeight;stationOrSiteName;subsetNumber;tableNumber;templatesLocalDir;templatesMasterDir;totalLength;unexpandedDescriptors;updateSequenceNumber;year
43.371,3.7796000000000003,7777;averageWavePeriod;bufrTemplate;bufrdcExpandedDescriptors;createNewData;dataBuoyType;dataKeys;day;defaultSequence;delayedDescriptorReplicationFactor;depthBelowWaterSurface;directionFromWhichDominantWavesAreComing;durationOfWaveRecord;ed;expandedAbbreviations;expandedCodes;expandedCrex_scales;expandedCrex_units;expandedCrex_widths;expandedNames;expandedOriginalCodes;expandedOriginalReferences;expandedOriginalScales;expandedOriginalWidths;expandedTypes;expandedUnits;globalDomain;hour;lengthDescriptors;localSectionPresent;marineObservingPlatformIdentifier;masterTablesVersionNumberLatest;maximumWaveHeight;md5Data;md5Structure;minute;month;numberOfUnexpandedDescriptors;reservedSection3;seaSurfaceTemperature;sequences;shortDelayedDescriptorReplicationFactor;significantWaveHeight;stationOrSiteName;subsetNumber;tableNumber;templatesLocalDir;templatesMasterDir;totalLength;unexpandedDescriptors;updateSequenceNumber;year
28.507500000000004,-80.185,7777;airTemperature;bufrTemplate;bufrdcExpandedDescriptors;createNewData;dataBuoyType;dataKeys;day;defaultSequence;delayedDescriptorReplicationFactor;dewpointTemperature;ed;expandedAbbreviations;expandedCodes;expandedCrex_scales;expandedCrex_units;expandedCrex_widths;expandedNames;expandedOriginalCodes;expandedOriginalReferences;expandedOriginalScales;expandedOriginalWidths;expandedTypes;expandedUnits;globalDomain;heightOfStationGroundAboveMeanSeaLevel;hour;lengthDescriptors;localSectionPresent;marineObservingPlatformIdentifier;masterTablesVersionNumberLatest;maximumWindGustDirection;md5Data;md5Structure;minute;month;nonCoordinatePressure;numberOfUnexpandedDescriptors;pressureReducedToMeanSeaLevel;reservedSection3;sequences;shortDelayedDescriptorReplicationFactor;stationOrSiteName;subsetNumber;tableNumber;templatesLocalDir;templatesMasterDir;timePeriod;totalLength;unexpandedDescriptors;updateSequenceNumber;windDirection;windSpeed;year
-66.52289,-54.55163,7777;batteryVoltageLargeRange;bufrTemplate;bufrdcExpandedDescriptors;createNewData;dataBuoyType;dataCollectionLocationSystem;dataKeys;day;defaultSequence;delayedDescriptorReplicationFactor;drogueType;ed;expandedAbbreviations;expandedCodes;expandedCrex_scales;expandedCrex_units;expandedCrex_widths;expandedNames;expandedOriginalCodes;expandedOriginalReferences;expandedOriginalScales;expandedOriginalWidths;expandedTypes;expandedUnits;globalDomain;hour;indicatorForDigitization;lengthDescriptors;localSectionPresent;longStationName;marineObservingPlatformIdentifier;masterTablesVersionNumberLatest;md5Data;md5Structure;methodOfSalinityOrDepthMeasurement;minute;month;numberOfUnexpandedDescriptors;oceanographicWaterTemperature;platformTransmitterIdNumber;qualityOfBuoyLocation;qualityOfBuoySatelliteTransmission;reservedSection3;sequences;shortDelayedDescriptorReplicationFactor;subsetNumber;surfaceType;tableNumber;templatesLocalDir;templatesMasterDir;timeSignificance;totalLength;unexpandedDescriptors;updateSequenceNumber;year
38.23472,-123.31694000000002,7777;airTemperature;bufrTemplate;bufrdcExpandedDescriptors;createNewData;dataBuoyType;dataKeys;day;defaultSequence;delayedDescriptorReplicationFactor;dewpointTemperature;ed;expandedAbbreviations;expandedCodes;expandedCrex_scales;expandedCrex_units;expandedCrex_widths;expandedNames;expandedOriginalCodes;expandedOriginalReferences;expandedOriginalScales;expandedOriginalWidths;expandedTypes;expandedUnits;globalDomain;heightOfStationGroundAboveMeanSeaLevel;hour;lengthDescriptors;localSectionPresent;marineObservingPlatformIdentifier;masterTablesVersionNumberLatest;maximumWindGustDirection;md5Data;md5Structure;minute;month;nonCoordinatePressure;numberOfUnexpandedDescriptors;pressureReducedToMeanSeaLevel;reservedSection3;sequences;shortDelayedDescriptorReplicationFactor;stationOrSiteName;subsetNumber;tableNumber;templatesLocalDir;templatesMasterDir;timePeriod;totalLength;unexpandedDescriptors;updateSequenceNumber;windDirection;windSpeed;year
0.2,-153.3,7777;airTemperature;bufrTemplate;bufrdcExpandedDescriptors;createNewData;dataBuoyType;dataKeys;day;defaultSequence;delayedDescriptorReplicationFactor;depthBelowWaterSurface;dewpointTemperature;ed;expandedAbbreviations;expandedCodes;expandedCrex_scales;expandedCrex_units;expandedCrex_widths;expandedNames;expandedOriginalCodes;expandedOriginalReferences;expandedOriginalScales;expandedOriginalWidths;expandedTypes;expandedUnits;globalDomain;hour;indicatorForDigitization;lengthDescriptors;localSectionPresent;longWaveRadiationIntegratedOverPeriodSpecified;marineObservingPlatformIdentifier;masterTablesVersionNumberLatest;md5Data;md5Structure;methodOfSalinityOrDepthMeasurement;minute;month;nonCoordinatePressure;numberOfUnexpandedDescriptors;oceanographicWaterTemperature;pressureReducedToMeanSeaLevel;relativeHumidity;reservedSection3;salinity;seaSurfaceTemperature;sequences;shortDelayedDescriptorReplicationFactor;shortWaveRadiationIntegratedOverPeriodSpecified;stationOrSiteName;subsetNumber;tableNumber;temperatureObservationPrecision;templatesLocalDir;templatesMasterDir;timePeriod;timeSignificance;totalLength;unexpandedDescriptors;updateSequenceNumber;windDirection;windSpeed;year
